feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,target
-3.728265,-2.107898,-2.407646,3.257525,0.820112,2.481374,4.449738,-3.642803,-2.868213,-1.782111,-0.000803,1.528595,2.602930,4.493204,-4.120123,-1.356015,-1.695096,0.701059,0.674819,5.643879,3.206370,-4.416763,-7.347345,-1.616960,-0.669783,1.699504,0.141894,2.276082,-4.321225,-3.563129,2.377259
-4.107409,-1.903230,-2.395749,-1.604571,-0.898643,-0.436726,1.639123,-6.091828,-2.823452,-0.659418,1.658158,-0.233901,-4.698136,1.984828,0.184772,4.763647,-0.253598,-0.171639,2.526887,-1.991499,5.202214,-2.230663,-0.453724,-0.592343,0.405306,0.147487,0.961395,2.153513,-1.017247,-5.152191,5.508660
-3.474771,-2.193821,-2.672766,2.739019,1.967415,1.442922,2.778369,-3.507974,-2.994134,-2.757509,0.017885,-0.582964,1.831947,4.290898,-1.408807,1.850442,-1.453657,-0.192046,3.806619,3.250280,4.805030,-2.892752,-6.045250,-1.831716,0.501257,1.106034,1.779961,1.880770,-1.628119,-4.324032,4.668446
-3.619802,-1.061964,-2.412966,-0.736741,-1.779499,-0.359321,5.051617,-7.544360,-1.959083,-2.110390,-1.633162,1.962385,1.681625,-0.186251,-6.646723,-6.820286,-1.312357,-0.680274,0.765378,4.974516,3.693727,-8.056390,-0.103780,3.930781,1.038090,2.942240,4.877758,4.018339,-7.116709,-5.468724,7.849353
-3.053691,-2.524606,-2.288154,0.557103,1.236839,-1.492735,-0.586726,-6.643990,-1.880393,-0.240900,-0.585926,1.996997,7.006717,1.935123,-3.632815,-11.632528,-0.767911,0.399415,2.224965,1.228630,6.057537,-7.936473,2.986608,-2.360461,-0.548012,1.844189,-0.573452,6.907190,-7.887727,1.983444,9.788768
-3.396622,0.147923,-2.191612,0.171607,2.917276,4.566598,9.823725,-2.912240,-2.915900,-1.124380,-0.248048,1.273235,3.624058,1.461009,-3.901398,-1.950237,-0.946911,1.849522,-2.955499,3.239248,3.331160,-0.625998,1.646837,9.282584,-0.429407,0.681393,1.573417,1.067503,-7.526416,-1.856004,3.490725
-2.915663,-4.758203,-3.632232,-0.509871,4.116206,4.322062,7.917006,-7.195586,-2.559852,-1.292380,2.434789,1.940962,3.945230,4.188819,-4.402146,-1.279215,-1.101699,-0.092484,1.860722,3.573104,3.087074,0.098575,-7.291331,-7.684081,-0.445927,0.632285,1.421270,2.837563,0.239405,-6.839722,16.045310
-4.055734,-2.051269,-2.978287,-2.853078,3.047153,7.938161,1.185087,-2.965290,-1.608145,-1.986412,-0.884546,-0.538120,3.604640,1.538696,-0.304071,-3.262664,-1.892026,-1.531493,-0.935965,1.476716,2.033594,-2.892838,-3.791892,-0.477583,-0.591609,-0.549255,3.199345,2.366623,-2.505579,2.431457,4.113645
-3.933597,-2.342639,-0.788003,-0.410777,-3.719066,2.627120,3.524849,-1.805414,-2.322131,-2.327859,-0.335734,-1.416497,5.690074,2.700238,3.411655,-5.224414,-1.625084,0.183349,1.006225,5.365647,3.346483,0.107659,3.080095,-0.051033,0.232066,1.902576,4.740427,4.476050,-2.441218,-1.513355,4.326850
-3.870591,-3.110611,0.264731,-1.461178,0.076984,3.346919,-1.111378,-3.873107,-2.760458,-2.100641,0.146699,-0.883353,0.614352,3.591713,-3.167343,-6.628401,-0.896843,-0.638610,-0.734772,3.485837,6.828043,-3.096908,-5.401388,2.667178,-0.038883,1.665581,2.088236,1.866911,-3.873747,-0.181229,5.997897
-2.979108,-1.914916,0.141449,0.217989,0.578842,-2.999895,4.200612,3.121220,-3.195373,-0.056655,-0.349096,1.304257,3.679834,2.004755,-3.957257,-0.146465,-1.455366,0.442460,3.407135,3.599655,3.778017,-5.965343,-4.034436,-1.132728,-0.617743,0.198082,2.292089,5.489616,-3.433825,-3.755255,7.900849
-4.093939,-1.562024,-2.092739,2.394362,0.449880,3.989072,4.790865,-4.117963,-2.752464,-1.224249,0.839595,3.277925,-1.524146,0.312537,-5.530721,-4.150707,-1.105646,-1.313517,0.820600,1.413902,9.329179,-3.053101,-2.705419,-5.058618,-0.104197,2.719938,3.799338,3.537191,-2.605118,1.839853,-0.595215
-3.741426,-1.636349,-0.680262,2.751604,4.394706,-0.399203,3.442500,-4.187861,-2.483172,-2.559473,-2.313664,-0.355409,0.111103,1.863291,-8.353612,-2.141891,-1.858221,0.073947,1.511848,4.150715,4.493469,-5.976791,-0.446312,1.458099,0.341065,2.506242,3.089642,4.313905,-3.652858,-5.591536,10.591809
-3.603942,-1.486365,-0.547117,-1.249620,1.483511,-0.913878,0.032209,-7.625980,-2.587945,-0.692401,-0.109161,4.728644,2.560283,4.153288,-5.673303,1.129141,-0.973271,0.121772,3.501469,1.320216,4.100579,-4.993972,3.784871,-1.690569,-0.482545,1.979238,2.253334,5.133098,-5.874211,-2.839805,7.761148
-3.932885,-2.095946,1.104802,1.224832,-0.680298,0.272598,8.774210,-4.887110,-2.521206,-1.485985,0.013703,1.641935,3.907368,4.543117,-8.689916,-3.072676,-0.773445,-0.001327,1.238937,1.131759,5.233503,-3.817492,-1.159634,-3.118449,0.417237,0.710543,0.661418,2.845858,-7.672402,2.599893,11.045952
-4.644832,-3.246704,-3.465730,0.582155,-2.678666,6.745577,4.398015,-1.102509,-1.589360,-0.931462,-0.090868,-0.056619,5.444828,3.702163,-5.231976,-5.603172,-0.499089,-1.561891,-0.032636,2.245567,2.733864,-2.794326,-4.310293,-1.849371,-0.418195,1.151646,4.842996,4.105371,-0.718824,-2.068051,-2.539958
-3.515311,-3.416513,0.476755,-1.495882,1.085039,1.613423,5.632738,2.614367,-2.058270,-1.969674,0.926283,-0.933966,7.726979,5.357713,-6.129361,-0.146709,-1.942655,-1.395336,1.473885,3.414481,8.844542,-2.414180,-2.242527,5.352890,0.143805,1.050206,0.595921,3.793176,-7.159044,-2.643391,13.251790
-2.893982,-3.308892,-1.042912,2.209345,0.799556,5.336463,5.129740,-5.466729,-2.515863,-0.597255,0.867755,-2.204949,1.110231,3.472682,-3.129019,-1.300161,-0.412453,-0.944577,2.215609,-0.189552,3.259999,-0.598389,-0.766776,-1.441065,-0.592152,3.135723,2.921340,4.201149,-0.134018,0.619417,8.130977
-3.924658,-2.853457,-2.484740,-1.825397,4.726154,0.113826,1.866020,-9.949675,-2.808969,-1.306180,-0.761641,2.778928,0.596409,2.662812,-9.041605,-2.135483,-1.844657,1.183298,2.399156,4.232469,2.330035,-0.969477,-6.077721,3.385627,0.033844,2.682822,3.447821,4.099137,-2.411185,-5.684412,10.748196
-3.630273,-4.432727,-2.435596,1.478826,5.551042,2.782228,5.697441,-7.016116,-2.202121,-1.869741,-0.441550,2.242681,0.064009,1.693920,-1.749473,-4.858056,-2.032815,0.334602,1.032265,2.922945,2.169607,-2.752153,0.281514,3.583634,0.638389,1.159133,1.913485,1.620958,-4.572166,-5.914308,13.049708
-3.852668,-2.046568,0.602875,-0.081385,1.128476,1.089870,-5.587020,-5.600193,-2.479406,-0.861493,2.791268,2.560086,1.924159,7.275493,-2.561637,-4.217746,-0.779254,0.329337,0.981374,3.084185,2.626884,-1.365272,-1.414163,-5.478574,0.230823,0.640394,3.399761,6.293184,-8.656111,-2.242151,5.305800
-4.615442,-3.327892,-2.161122,-0.477042,0.589565,2.014467,6.172123,2.852708,-2.180615,-0.875544,-3.861815,5.431149,3.983373,2.291434,3.290020,-6.655373,-1.069633,-0.139351,-1.766848,1.995199,3.830524,-6.147256,0.257313,6.827662,-0.077085,2.112336,3.242600,6.853288,-1.642250,0.109822,8.462905
-3.832826,-3.239804,-0.768697,2.482722,1.340133,-1.194754,7.133106,2.758717,-1.899025,-1.654172,1.718911,2.268099,7.313466,2.537864,-0.424726,-2.515528,-1.795726,0.563384,2.738467,3.974278,3.004057,-5.374452,2.597960,-4.703352,-0.138699,1.038448,2.186438,6.120438,-3.300308,-0.236524,8.878170
-4.536784,-2.769686,-0.876822,0.284521,1.981205,1.712319,4.840904,-7.723324,-2.095893,-2.599974,-0.129657,1.287319,1.973237,7.081580,-2.658417,3.389602,-0.708218,-0.631862,1.169520,2.929616,-2.335493,-3.895157,-4.939423,-3.823900,-0.503790,1.801769,1.746600,4.779466,-7.863965,-6.060382,9.142954
-3.723383,-2.734463,-0.695221,1.842607,2.840948,5.401796,5.281565,-4.241285,-1.989927,-1.533892,1.038693,3.901802,0.776499,2.932583,0.018807,4.064647,-0.911823,0.839914,1.382825,2.457499,2.915004,-0.834877,-6.277378,0.088745,-0.159971,2.800828,4.212554,5.546045,-3.524467,-2.192309,8.542268
-3.481542,-0.892751,-2.427340,-2.344356,0.561887,4.812693,2.639997,-3.938202,-3.170947,-2.224814,0.535902,-0.076017,7.895489,8.768287,-6.865330,-2.298516,-1.602322,-0.113728,2.871288,-0.061995,2.202303,-2.917905,-0.270801,-0.108267,-0.068816,-0.057102,5.383444,2.823570,-4.048513,2.139449,4.507840
-3.439075,-2.672252,-0.838529,1.255502,-0.288085,6.325713,3.143702,2.667066,-2.454119,-1.190276,1.357291,3.161012,3.866642,8.508652,1.554763,-3.783633,-1.603155,1.409164,1.536079,3.927970,2.668693,-3.966782,-0.659740,1.033566,-0.239310,1.227981,3.217847,0.294377,-1.853661,-1.358857,3.361111
-3.165204,-2.535245,-1.391647,-0.022180,-1.985789,0.477996,9.299637,0.061786,-3.392450,-1.728253,1.987639,-0.272031,2.997796,6.454697,-0.315422,-5.346089,-1.541870,-0.186344,0.127166,0.299877,9.488353,-4.932588,-6.133850,4.394473,-0.770683,1.381873,1.108090,1.922685,-4.320385,-2.146143,11.156177
-3.949306,-5.482424,1.664488,-0.301236,-0.012555,2.363166,12.411057,-11.256235,-2.419469,-0.744774,2.976430,-0.284067,4.225057,6.763799,-5.989139,-0.412804,-0.947005,1.276887,1.712340,2.037871,8.121348,-8.603585,-3.929688,3.783552,0.342778,0.970564,3.950822,2.726715,-1.537892,-6.895295,25.471340
-3.856153,-1.889884,-3.454919,-0.892198,1.216245,1.712501,7.090179,0.324206,-3.429352,-0.998118,0.069515,0.160231,1.307338,2.375771,-7.072177,-6.370874,-2.088991,-0.879192,-0.270508,5.252059,6.406189,-9.604383,-0.484539,-5.462968,0.799719,1.707015,3.110535,5.475041,-3.366872,2.676367,2.058417
-3.474198,-4.817611,-1.261854,3.124459,-2.350034,1.014748,7.240600,-4.063471,-2.673007,-2.033542,-1.411229,-0.505369,5.006787,5.320116,-0.834118,-3.608455,-0.356021,0.539930,1.447773,1.788109,7.437259,-2.132756,-4.211112,-4.720121,0.136389,0.139746,4.100192,0.019229,-1.811507,0.182253,11.273834
-3.759137,-2.667857,-2.449741,-1.552827,2.324569,1.036695,12.210877,-3.629521,-2.177251,-1.374986,-1.216102,2.102002,4.290711,2.443338,-3.782977,-2.362306,-1.569443,1.100780,-0.454686,4.391580,4.242688,-6.979258,-6.912714,-1.449983,0.228492,0.810477,3.868919,5.366851,-2.806155,-6.799618,14.309434
-2.994595,-1.032055,0.001100,-2.938361,3.340430,7.149758,1.457233,-2.793245,-1.791544,-0.750725,-0.729314,-0.344927,3.687737,5.456191,-2.632059,-5.873007,-0.987332,-1.839422,-1.768605,4.753809,1.114893,-6.053450,1.944911,0.947385,-0.509790,1.860951,1.391569,4.004773,-4.058456,-2.775097,7.455363
-3.837058,-2.756247,-1.640613,2.656636,-1.769134,3.704610,4.082905,0.909619,-2.727440,-2.418422,-0.516631,0.872500,5.354039,2.022774,-0.637330,-2.767176,-1.022732,0.586023,-0.865509,3.285990,6.117339,-4.777788,-0.163281,-3.644324,-0.299189,0.921663,2.781158,1.580696,-0.704464,-2.512015,-2.999732
-4.086798,-2.466957,-1.271990,0.944992,-3.902506,-0.558041,2.313685,-4.028729,-2.305522,-2.026201,-0.464367,-0.345857,0.306298,5.962018,-0.357889,-6.978819,-2.060066,1.240043,2.315692,2.953753,2.915510,-5.565559,-6.797338,-1.144596,-0.835715,2.425695,4.427590,2.648397,-3.771085,-2.174919,4.390499
-3.668478,-2.567544,-1.908165,1.721669,1.493128,2.829938,4.526054,0.391018,-1.457959,0.407387,-0.528219,1.248785,3.791057,10.488817,-2.951353,-2.530469,-1.315323,0.453636,0.995619,4.214328,1.372959,-4.159900,-3.378452,0.162220,-0.899856,-0.818245,1.392832,3.057240,-1.399471,-2.733588,3.646229
-3.428185,-1.391271,-0.766432,-1.283406,0.386810,0.264897,1.189003,-6.682576,-3.010308,-1.599072,0.808044,5.115062,0.581603,8.880787,-3.161560,4.274133,-0.397360,-1.183963,0.288162,0.331604,1.820781,-3.296874,-1.237587,-2.761518,0.970895,0.531662,2.765349,3.243375,-7.897179,-2.141159,2.722011
-3.710045,-3.353843,-1.326421,-1.455014,-1.958531,-1.091975,5.152314,3.065795,-2.144614,-2.857370,0.932411,5.024058,1.729484,3.971263,1.021278,1.129126,-1.089687,0.515272,2.254506,2.428263,8.390906,-5.009737,-4.629302,-1.740953,0.085354,-0.108487,2.560497,5.380215,-7.882295,1.252697,9.701508
-4.015256,-0.637776,-3.242850,-1.193081,1.557658,4.717388,0.963428,1.690308,-1.815598,-2.070552,0.819610,3.631593,3.709481,8.622039,-4.510253,0.102744,-1.216983,0.130898,2.150074,0.450383,2.391028,-5.526188,0.877317,-4.031569,-0.809243,-0.730547,1.994957,2.037273,-3.443866,-2.750879,-4.997829
-3.528097,-2.603106,-1.006198,0.379900,4.894474,8.605587,2.877107,-0.812482,-2.043869,-2.028841,0.380718,2.964842,-1.008976,4.860711,-0.823811,-0.860273,-1.465451,-1.069803,0.628464,3.833654,6.221385,-8.844187,-0.824024,-7.862304,-0.640657,2.261089,2.712433,3.101003,-1.910314,2.578792,1.986668
-3.664859,-0.612409,-1.561454,3.722333,2.869089,2.858003,6.472187,-5.142154,-2.641351,-1.372138,-1.778359,-0.983435,-1.205634,2.282602,-3.501598,8.330583,-1.257430,-1.281727,1.634426,2.656713,5.120557,-1.659742,-6.597354,-7.559345,-1.007272,0.582053,1.217541,-1.969860,-6.594158,-2.133089,1.696089
-3.772157,-3.162322,-1.618548,2.443985,-1.641788,1.048146,5.044412,-6.782224,-2.638339,-1.401846,2.107452,3.473482,2.316224,3.229805,-3.685639,-2.931102,-1.803740,2.574152,3.719181,5.572638,8.625325,-5.147195,-2.758744,-2.540519,0.156217,1.495447,0.120245,-1.277492,-1.211700,-0.916263,3.222572
-3.147217,-2.343748,-2.574931,0.292154,3.743688,5.864657,1.717722,-4.142154,-2.072847,-1.295491,0.955645,-1.104122,2.310553,-4.731016,2.824678,-6.539974,-0.807020,1.212945,0.280728,2.041313,6.329548,-6.481672,-3.505696,-2.027379,-0.351036,1.174758,1.459425,2.633191,-7.999537,-1.516560,12.831051
-3.392020,-1.683226,-1.502525,0.901934,9.223334,3.790027,5.548179,-3.125543,-2.669721,-1.236459,1.945264,0.990456,2.814682,4.248741,-3.617268,-0.333096,-0.569103,0.912707,1.596494,1.637402,3.358579,-5.421458,0.657648,-4.557727,-0.115342,1.083556,1.819577,2.002407,-3.438415,0.847541,14.084123
-3.880517,-3.617199,0.263811,-0.345284,-0.038802,2.021190,3.554154,-5.352382,-2.234735,-1.028528,-1.308215,-1.271264,1.594919,0.877669,-1.321219,-6.064674,-1.013567,1.109157,1.897280,4.725960,4.203453,-3.596952,-3.765826,-4.420392,0.357415,0.782255,2.109464,5.944387,0.049526,-0.743241,13.237623
-3.197006,-1.007378,-4.036296,-1.250087,2.924687,4.455216,6.921422,-8.979454,-3.281540,-0.118482,2.361774,4.969770,6.276615,6.461869,0.755225,0.348026,-1.162657,-0.385449,1.767532,3.326415,4.404907,-10.706616,-5.717351,2.999119,-0.304731,2.366274,0.754445,3.864130,-2.648269,-9.341649,8.934779
-2.758113,-2.706312,-1.831144,4.331235,-1.023292,1.873970,5.863483,-3.991225,-3.235838,-1.586016,3.139268,-0.872624,0.078273,-3.789008,-5.498207,-3.987572,-1.408534,-0.121545,2.309311,-0.657853,6.008345,-2.709783,-6.444257,4.239033,-0.663236,2.401664,1.474978,2.023792,-5.230119,2.064521,6.019079
-2.846375,-2.993446,-1.032628,0.236959,-0.474119,1.201791,4.060957,-2.662682,-2.043254,-1.053374,1.424961,2.837066,-1.201854,0.717973,-6.714227,1.111042,-1.353285,0.826597,1.302950,2.965478,3.110567,-2.533035,-5.601952,-5.546204,-0.241598,1.575992,3.972628,3.129292,-3.140869,-1.917744,7.723317
-3.414523,-2.632813,-4.470545,0.230409,2.603785,-2.209482,3.212545,-1.337315,-2.591251,-0.687907,-0.915107,2.629532,4.223077,2.797214,-4.887561,-4.061683,-1.465754,-0.704735,-0.233519,-0.152101,5.453542,-4.998423,-4.784168,6.168590,-0.246093,0.585369,1.879112,1.344337,-2.253074,-1.745245,9.568960
-3.797722,-1.400154,0.140406,-1.288111,-3.403403,1.350637,3.477739,-8.444041,-2.832676,-2.363539,-3.240725,2.280141,1.026289,4.274856,-4.210845,-0.245982,-0.931480,0.358691,-0.165127,4.417543,5.662679,-4.904952,-1.032738,-1.486099,0.604045,1.936875,3.108613,2.203635,-8.622228,-4.733375,6.397570
-3.286148,-5.088377,-1.879812,-1.206085,0.411664,4.611735,1.275016,1.599856,-2.024687,-2.759298,1.125122,2.795684,2.107671,3.976981,-8.674704,5.488807,-2.151326,1.223430,3.758111,3.877190,4.538470,-7.261903,4.216553,-3.933558,-0.220084,1.054273,5.562714,4.540836,-1.639995,-5.991478,3.658826
-3.965269,-3.675724,-2.448947,-1.365848,0.440852,1.374500,5.136953,-4.951551,-2.105858,-1.316829,-0.200100,0.646443,1.799449,3.948538,-3.597222,-9.877826,-2.112669,0.243685,1.378647,3.603517,5.610944,-4.018648,-3.323736,-2.650823,0.628326,1.811229,1.563573,5.847221,-4.691636,-7.108157,14.032602
-3.526677,-3.994264,-1.245599,-2.166160,2.904474,3.938750,5.095354,-5.907577,-2.105344,-1.734758,1.778671,4.264747,0.428296,0.518448,-9.707102,-1.743718,-0.131145,-0.288513,0.937360,0.519050,7.403471,-3.566807,-4.177325,-1.725441,0.856349,1.620777,4.539255,0.477855,-5.595798,-1.348234,13.915269
-3.131881,-3.590649,-2.170330,-3.370006,0.447619,6.335031,8.303516,-5.470257,-1.684940,-2.583736,1.657539,1.866424,3.997183,2.884789,0.598045,3.094068,-1.322323,0.878241,-1.469103,-0.839770,4.292117,-4.345085,2.765089,-4.581241,0.242626,0.747118,2.035880,4.602425,-3.323258,-0.757418,12.259999
-3.833980,-3.270096,-2.063095,-3.084266,0.336804,3.241717,3.324679,-1.848793,-2.746003,-2.938359,1.463814,2.061360,4.779783,0.544145,-3.316333,-0.120883,-0.765820,-0.277443,-0.674715,3.062280,1.256796,-4.977813,-1.949039,-3.321835,0.281881,1.566965,2.251483,-0.794188,-2.014503,-2.711466,10.964593
-3.322543,-1.950400,-3.504949,-0.593096,-1.962292,-1.906958,8.064446,0.176411,-2.218043,-1.712337,-3.330841,-0.102172,-0.101946,1.068180,-10.826025,-7.303304,-1.536210,-2.086176,1.097609,5.157129,1.726985,-1.574137,-0.168778,-2.445172,0.349789,1.744111,0.847940,0.836127,0.717905,-0.092689,5.591884
-3.805444,-2.907748,-0.989697,2.561133,1.672666,3.030767,1.859070,2.124388,-3.069775,-3.191700,-0.660050,-1.717253,-0.374951,3.203965,-1.259303,-8.694709,-0.987458,-0.594252,1.328166,2.402089,2.798847,1.621737,-6.079218,-1.756130,0.801129,2.103510,3.366851,1.737346,-1.319911,-2.616381,5.338581
-4.621306,-2.004466,-0.030478,-0.992366,4.184496,-1.452139,1.732197,-2.041307,-2.081951,-1.332825,0.187547,4.120400,2.676897,5.584412,-5.448940,-6.173848,-0.700581,0.689321,1.651507,2.364608,4.736176,-0.417149,-0.427259,-1.016081,-0.545025,2.430892,1.570684,1.022715,-4.889816,-2.807747,8.834443
-3.561053,-3.939984,-0.027074,-1.061632,1.511959,1.254507,4.335286,2.329684,-2.665418,-0.845652,1.890912,2.094496,2.483036,3.978364,-2.290917,2.110596,-1.422105,1.254855,0.556740,1.127904,1.436044,-6.899160,-0.395855,-3.956478,0.001341,0.414966,4.488888,-1.158326,-3.903321,0.686188,10.946818
-4.053387,-1.552795,-0.988125,-1.208411,-2.304990,-1.006838,1.555357,-4.926228,-2.465980,-0.457369,-1.183311,-0.720873,4.337212,3.098546,-0.141855,-0.421712,-1.095832,-2.094441,0.762609,2.585812,5.136482,-2.955491,-5.148675,-9.344667,0.079440,1.421199,2.607748,4.698546,-0.248995,-4.525270,3.241974
